"Reporting starts","Reporting ends","Ad name","Ad delivery","Attribution setting",Results,"Result indicator",Reach,Frequency,"Cost per results","Ad set budget","Ad set budget type","Amount spent (USD)",Ends,"Quality ranking","Engagement rate ranking","Conversion rate ranking",Impressions,"CPM (cost per 1,000 impressions) (USD)","Link clicks",shop_clicks,"CPC (cost per link click) (USD)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all) (USD)","Landing page views","Cost per landing page view (USD)"
2026-01-01,2026-02-18,Ajay,not_delivering,"7-day click or 1-day view",,,8,1,,10,Daily,0.25,Ongoing,-,-,-,8,31.25,,,,,0,0,0,,
2026-01-01,2026-02-18,"Peter Snelle",not_delivering,"7-day click or 1-day view",,,5,1,,10,Daily,0.07,Ongoing,-,-,-,5,14,,,,,0,0,0,,
2026-01-01,2026-02-18,"Sizzle #1",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",,,93,1.11828,,10,Daily,7.84,Ongoing,-,-,-,104,75.384615,3,,2.613333,2.884615,5,4.807692,1.568,3,2.613333
2026-01-01,2026-02-18,"Storm Leroy",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",1,actions:offsite_conversion.custom.26020366324235150,203,1.044335,21.62,10,Daily,21.62,Ongoing,-,-,-,212,101.981132,7,,3.088571,3.301887,14,6.603774,1.544286,6,3.603333
2026-01-01,2026-02-18,"Brad Lea",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",,,18,1.055556,,10,Daily,1.78,Ongoing,-,-,-,19,93.684211,2,,0.89,10.526316,2,10.526316,0.89,2,0.89
2026-01-01,2026-02-18,"Pace Morby",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",,,104,1.057692,,10,Daily,3.92,Ongoing,-,-,-,110,35.636364,,,,,3,2.727273,1.306667,,
2026-01-01,2026-02-18,"Sizzle #3",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",,,1127,1.157054,,10,Daily,34.69,Ongoing,-,-,-,1304,26.602761,13,,2.668462,0.996933,27,2.070552,1.284815,9,3.854444
2026-01-01,2026-02-18,"Cody Sperber",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",,,12,1,,10,Daily,1.15,Ongoing,-,-,-,12,95.833333,,,,,0,0,0,,
2026-01-01,2026-02-18,"Pace Morby",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",1,actions:offsite_conversion.custom.26020366324235150,1314,1.240487,48.19,10,Daily,48.19,Ongoing,-,-,-,1630,29.564417,16,,3.011875,0.981595,28,1.717791,1.721071,15,3.212667
2026-01-01,2026-02-18,"We Sell Out Events",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",,,436,1.194954,,10,Daily,26.55,Ongoing,Average,-,-,521,50.959693,7,,3.792857,1.34357,10,1.919386,2.655,6,4.425
2026-01-01,2026-02-18,"""STOP"" Ad",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",,,29,1.068966,,10,Daily,2.31,Ongoing,-,-,-,31,74.516129,3,,0.77,9.677419,3,9.677419,0.77,1,2.31
2026-01-01,2026-02-18,"""We Fill The Room"" Ad",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",,,4,1.25,,10,Daily,0.1,Ongoing,-,-,-,5,20,,,,,0,0,0,,
